monomer_id	var_0_normalized_monomer_count	var_of_interest_normalized_monomer_count
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER[i]	3.182006682915587e-05	1.3706180433837173e-05
1-PFK-MONOMER[c]	1.426367619699898e-05	1.0211118943691972e-05
2-DEHYDROPANTOATE-REDUCT-MONOMER[c]	3.801283758765692e-05	1.9972617781185818e-05
2-ISOPROPYLMALATESYN-MONOMER[c]	0.0005312365202397372	0.0003898244012922849
2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER[c]	6.706616508750047e-05	2.6903797141282863e-05
2-OCTAPRENYLPHENOL-HYDROX-MONOMER[i]	1.1216798188165156e-05	5.329881880937934e-06
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER[c]	0.0006250321393484372	0.0003467423425715388
3-OXOACYL-ACP-REDUCT-MONOMER[c]	0.0006745375727563863	0.00042859604969464277
3-OXOACYL-ACP-SYNTHII-MONOMER[c]	0.0002609082489007576	0.00017042166405549302
4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER[i]	9.193872894500117e-06	3.5815691525441594e-06
6PFK-1-MONOMER[c]	0.0005583348851432346	0.00027315601023127496
6PFK-2-MONOMER[c]	3.438778730837186e-05	1.9167570521582354e-05
6PGLUCONDEHYDROG-MONOMER[c]	0.0005167748478937113	0.00031574606362758253
6PGLUCONOLACT-MONOMER[c]	0.00017632722596651023	9.049567811645377e-05
7-ALPHA-HYDROXYSTEROID-DEH-MONOMER[c]	0.00010249329782397137	5.83631548700329e-05
7KAPSYN-MONOMER[c]	2.232604213501811e-05	1.2041456059328845e-05
AAS-MONOMER[i]	7.621153701428102e-06	5.8713612043275075e-06
ABC-MONOMER[m]	4.908406127598677e-05	2.304386885656637e-05
ABGT-MONOMER[i]	3.418568210010932e-06	5.900981889291492e-07
ACETATEKINA-MONOMER[c]	0.00040359965066327937	0.00024614695255867217
ACETOLACTSYNIII-HCHAIN-MONOMER[c]	9.008943593597082e-05	3.6070867086059134e-05
ACETOLACTSYNIII-ICHAIN-MONOMER[c]	5.487867046077322e-05	2.271227366216156e-05
ACETYL-COA-ACETYLTRANSFER-MONOMER[c]	7.121677566161837e-05	4.4119497568609384e-05
ACETYLGLUTKIN-MONOMER[c]	5.85924398702631e-05	3.160169277460626e-05
ACETYLORNDEACET-MONOMER[c]	0.0001082247664308701	5.51626574672441e-05
ACETYLORNTRANSAM-MONOMER[c]	7.188993820266344e-05	3.602264253924815e-05
ACONITASE-MONOMER[c]	6.405919344306325e-05	4.038395931925688e-05
ACONITATEDEHYDRB-MONOMER[c]	0.0003590682142697253	0.00012879845408554348
ACRB-MONOMER[m]	4.617189426130476e-05	3.567241030560741e-05
ACRF-MONOMER[m]	5.758233502526095e-09	1e-10
ACS-MONOMER[c]	5.255216687420765e-05	1.9257784479916752e-05
ACSERLYA-MONOMER[c]	0.003227161382390075	0.0019425474350903934
ACSERLYB-MONOMER[c]	0.0001422572185506259	9.057062597456951e-05
ACYLCOADEHYDROG-MONOMER[c]	5.137335176831573e-06	2.3382998098321143e-06
ACYLCOASYN-MONOMER[c]	1.2978682962125562e-05	8.469444811464788e-06
ADCLY-MONOMER[c]	0.0003242584265441999	0.00019134411774049306
ADENPRIBOSYLTRAN-MONOMER[c]	0.0004664220222899789	0.00027238953788875805
ADENYL-KIN-MONOMER[c]	0.0012015413405807892	0.0005443044140640968
ADENYLATECYC-MONOMER[c]	1.2242170054745028e-05	8.182472524656499e-06
ADENYLOSUCCINATE-SYN-MONOMER[c]	0.0009687782291648654	0.0005592434006162422
ADENYLYLSULFKIN-MONOMER[c]	0.00016478377325221532	0.0001044117206381588
ADHC-MONOMER[c]	8.902073938161069e-05	4.2887591252176916e-05
ADHE-MONOMER[c]	0.0006938734871220414	0.0004286581629136801
ADHP-MONOMER[c]	2.6995927341749555e-05	2.0697307287351518e-05
AERGLYC3PDEHYDROG-MONOMER[i]	0.0017626528654298471	0.000925410563481494
AGAB-MONOMER[c]	9.156327262584779e-07	1.7365995292815673e-07
AGAC-MONOMER[i]	8.360713702331769e-07	1.6054974848254353e-07
AGAD-MONOMER[i]	7.691044900305137e-07	1.4356957410369975e-07
AGAX-MONOMER[m]	1.2967599475290658e-05	3.989888639469526e-06
AGMATIN-MONOMER[c]	0.00024427321067762046	0.0001585288255524755
AICARTRANSIMPCYCLO-CPLX[c]	0.00026137390125436516	0.00012124652275724646
AIRS-MONOMER[c]	0.00034014513359259627	0.00019086303555146655
AKBLIG-MONOMER[c]	2.1480388066204626e-05	1.2608185697995194e-05
ALARACEBIOSYN-MONOMER[c]	1.5967646493151403e-05	7.162107847649031e-06
ALARACECAT-MONOMER[c]	1.5132354729091321e-05	9.808715520157943e-06
ALAS-MONOMER[c]	0.0002593947453575481	0.00016032031222311277
ALDDEHYDROGB-MONOMER[c]	1.0034286339690673e-06	1.922633093822247e-08
ALDHDEHYDROG-MONOMER[c]	2.677013935850588e-05	1.3136957014385066e-05
ALDOSE1EPIM-MONOMER[c]	0.0001542868346523644	9.008908570169621e-05
ALKAPHOSPHA-MONOMER[p]	4.2417933291181726e-06	1.6372303725258838e-06
ALPHA-AMYL-CYTO-MONOMER[c]	7.524430779737041e-05	2.6156529779630038e-05
ALPHA-AMYL-PERI-MONOMER[p]	9.599836887433116e-06	2.806095714038564e-06
