Protein IDs,Protein names,Gene names,Fasta headers,Proteins,copy number per cell sample  1,copy number per cell sample  2,copy number per cell sample  3,Average copy number
P67662,HTH-type transcriptional activator AaeR,aaeR,>sp|P67662|AAER_ECOLI HTH-type transcriptional activator AaeR OS=Escherichia coli (strain K12) GN=aaeR PE=4 SV=1,1,10.35651673,6.506315574,10.87946594,9.247432749
P31119,Bifunctional protein aas;2-acylglycerophosphoethanolamine acyltransferase;Acyl-[acyl-carrier-protein] synthetase,aas,>sp|P31119|AAS_ECOLI Bifunctional protein aas OS=Escherichia coli (strain K12) GN=aas PE=1 SV=2,1,3.786463428,3.183828988,0.721997705,2.564096707
P77357,Aminobenzoyl-glutamate utilization protein A,abgA,>sp|P77357|ABGA_ECOLI Aminobenzoyl-glutamate utilization protein A OS=Escherichia coli (strain K12) GN=abgA PE=1 SV=2,1,0,7.424047402,0,2.474682467
P0ABD5,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,accA,>sp|P0ABD5|ACCA_ECOLI Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha OS=Escherichia coli (strain K12) GN=accA PE=1 SV=2,1,1071.362014,793.0128545,1148.991762,1004.455543
P0ABD8,Biotin carboxyl carrier protein of acetyl-CoA carboxylase,accB,>sp|P0ABD8|BCCP_ECOLI Biotin carboxyl carrier protein of acetyl-CoA carboxylase OS=Escherichia coli (strain K12) GN=accB PE=1 SV=1,1,651.5002433,571.5795475,651.0544992,624.71143
P24182,Biotin carboxylase,accC,>sp|P24182|ACCC_ECOLI Biotin carboxylase OS=Escherichia coli (strain K12) GN=accC PE=1 SV=2,1,1136.052563,990.0228839,1307.735911,1144.603786
P0A9Q5,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta,accD,>sp|P0A9Q5|ACCD_ECOLI Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta OS=Escherichia coli (strain K12) GN=accD PE=1 SV=1,1,672.213575,517.534638,553.0171971,580.9218033
P0A9G6,Isocitrate lyase,aceA,>sp|P0A9G6|ACEA_ECOLI Isocitrate lyase OS=Escherichia coli (strain K12) GN=aceA PE=1 SV=1,1,21.23891915,21.2232592,26.2344713,22.89888322
P08997,Malate synthase A,aceB,>sp|P08997|MASY_ECOLI Malate synthase A OS=Escherichia coli (strain K12) GN=aceB PE=1 SV=1,1,3.615066437,4.203542622,4.168600321,3.99573646
P0AFG8,Pyruvate dehydrogenase E1 component,aceE,>sp|P0AFG8|ODP1_ECOLI Pyruvate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=aceE PE=1 SV=2,1,4284.904374,3370.145046,3604.426175,3753.158532
