# Generated from the following BioVelo query on EcoCyc, 11:22am, November 4, 2024: html-sort-ascending(html-table-headers([(x^?name, x^?frame-id, (regulators-of-site x), Evidence) : x<-ECOLI^^DNA-Binding-Sites, !(classp x), Evidence := (evidence x), [e:e<-Evidence]], ("Site", "Frame ID", "Regulators",  "Evidence")), 2)
QseB-Pasp51 DNA-binding-site (BS0-10468)	BS0-10468	DNA-binding transcriptional activator QseB,Phosphorylated DNA-binding transcriptional activator QseB	EV-COMP-HINF-SIMILAR-TO-CONSENSUS,EV-EXP-IMP-SITE-MUTATION,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
McbR DNA-binding-site regulating mcbAp5	BS0-7746	DNA-binding transcriptional dual regulator McbR	EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
ArcA-Pasp54 DNA-binding-site 44 bases upstream of cydDp	BS0-38	DNA-binding transcriptional dual regulator ArcA,DNA-binding transcriptional dual regulator ArcA-phosphorylated	EV-EXP-CHIP-CHIP,EV-COMP-AINF-PATTERN-DISCOVERY,EV-EXP-IEP-MICROARRAY,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Nac DNA-binding-site (BS0-9989)	BS0-9989	DNA-binding transcriptional dual regulator Nac	EV-EXP-CHIP-SEQ,EV-COMP-AINF-PATTERN-DISCOVERY,EV-EXP-IEP-RNA-SEQ
DNA-binding transcriptional dual regulator Fur DNA-binding-site 89 bases upstream of ftnAp	BS0-7825	DNA-binding transcriptional dual regulator Fur,[2Fe-2S] cluster DNA-binding transcriptional dual regulator,Fe<sup>2+</sup>	EV-AS,EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS,EV-COMP-HINF-SIMILAR-TO-CONSENSUS,EV-EXP-CHIP-EXO-MANUAL,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-RNA-SEQ,EV-EXP-IEP-RNA-SEQ
FadR-acyl-CoA DNA-binding-site 10 bases upstream of fadRp1	BS0-8297	DNA-binding transcriptional dual regulator FadR,FadR-an acyl-CoA,an acyl-CoA	EV-COMP-AINF-SIMILAR-TO-CONSENSUS
Nac DNA-binding-site (BS0-9780)	BS0-9780	DNA-binding transcriptional dual regulator Nac	EV-EXP-CHIP-SEQ,EV-COMP-AINF-PATTERN-DISCOVERY,EV-EXP-IEP-RNA-SEQ
TrpR-trp DNA-binding-site 3.5 bases upstream of trpLp	BS0-4061	DNA-binding transcriptional repressor TrpR,DNA-binding transcriptional repressor TrpR,DNA-binding transcriptional repressor TrpR-L-tryptophan,L-tryptophan	EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS,EV-COMP-HINF-SIMILAR-TO-CONSENSUS,EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS,EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS,EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS,EV-EXP-IMP-SITE-MUTATION,EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
CsgD DNA-binding-site 33.5 bases downstream of fliEp2	BS0-8048	DNA-binding transcriptional dual regulator CsgD	EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS,EV-COMP-HINF-SIMILAR-TO-CONSENSUS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Lrp DNA-binding-site (BS0-10325)	BS0-10325	DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator Lrp-L-leucine,L-leucine	EV-EXP-CHIP-SEQ,EV-EXP-IEP-RNA-SEQ
