# Generated from the following BioVelo query on EcoCyc, 12:28pm, November 3, 2024: html-sort-ascending(html-table-headers([(x^?name, x^?frame-id, x^regulated-by, [c: c<-x^components, c isa DNA-Binding-Sites]) : x<-ECOLI^^Transcription-Units,  !(classp x), Evidence := (evidence x), [e:e<-Evidence]], ("Name", "Frame ID", "Regulated by", "DNA Binding Sites", "Evidence")), 2)
cyaY	TU0-14229
mobAB	TU263
ydfABC	TU0-13329
yoeF	TU0-13484
yhhM	TU0-8584
ybhA	TU0-8564
rph	TU0-14696
yeaL	TU0-8712
yceH	TU0-14349
yegI	TU0-8724
yhjH	TU0-1549
yjgH	TU0-14170	Regulation of yjgH by ppGpp
galETKM	TU0-45179		GalS DNA-binding-site 52.5 bases downstream of galEp,GalS-galactose DNA-binding-site 60.5 bases upstream of galEp,H-NS DNA-binding-site 47 bases upstream of galEp,H-NS DNA-binding-site 36 bases upstream of galEp,H-NS DNA-binding-site 18 bases upstream of galEp,H-NS DNA-binding-site 2 bases upstream of galEp,HU DNA-binding-site 6.5 bases downstream of galEp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 41.5 bases upstream of galEp,GalR-galactose DNA-binding-site 60.5 bases upstream of galEp,GalR DNA-binding-site 46.5 bases downstream of galEp
trmJ	TU0-13657
ybhB	TU0-13046
rihA	TU0-13014	Regulation of rihA by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
rpmI-rplT	TU0-14255	Regulation of rpmI-rplT by 50S ribosomal subunit protein L20
icd	TU00425		Cra DNA-binding-site 76.5 bases upstream of icdAp2
tnaAB	TU0-45291	Regulation of tnaAB by DNA-binding transcriptional activator ZraR-phosphorylated
yfdE	TU0-13608	Regulation of yfdE by DNA-binding transcriptional dual regulator Nac
cusCFBA	TU0-1821		CusR-P<SUP>asp</SUP> DNA-binding-site 57.5 bases upstream of cusRp
racR	TU0-13230
eptC	TU0-14094
yneK	TU0-13306
gntXY	TU0-4981		CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 41.5 bases upstream of gntXp,GntR DNA-binding-site 15 bases upstream of gntXp
gapA	TU0-45263		Cra-fructose-1-phosphate DNA-binding-site 43.5 bases upstream of gapAp
soxR	TU00456	Regulation of soxR by putrescine	SoxR DNA-binding-site 25.5 bases upstream of soxSp
serA	TU00224		Nac DNA-binding-site 30 bases upstream of serAp1,Nac DNA-binding-site 19 bases upstream of serAp1,Lrp DNA-binding-site regulating serAp1
guaBA	TU00205		DnaA-ATP DNA-binding-site 248 bases downstream of guaBp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 117.5 bases upstream of guaBp,PurR-hypoxanthine DNA-binding-site 24.5 bases upstream of guaBp
rpoH	TU00427		DnaA-ATP DNA-binding-site 48 bases upstream of rpoHp3,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 20.5 bases upstream of rpoHp3,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 73.5 bases upstream of rpoHp3,CytR DNA-binding-site 33.5 bases upstream of rpoHp3
asnB	TU0-4929	Regulation of asnB by small regulatory RNA GcvB
dcuB-fumB	TU00468		NarL-P<sup>asp59</sup> DNA-binding-site 24 bases downstream of dcuBp1,NarL-P<sup>asp59</sup> DNA-binding-site 43 bases downstream of dcuBp1,NarL-P<sup>asp59</sup> DNA-binding-site 19 bases downstream of dcuBp1,NarL-P<sup>asp59</sup> DNA-binding-site 2 bases downstream of dcuBp1,NarL-P<sup>asp59</sup> DNA-binding-site 45 bases upstream of dcuBp1,NarL-P<sup>asp59</sup> DNA-binding-site 109 bases upstream of dcuBp1,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 106.5 bases upstream of dcuBp1,Fnr DNA-binding-site 45.5 bases upstream of dcuBp1
epmA	TU0-14146
yhbX	TU0-13882	Regulation of yhbX by DNA-binding transcriptional dual regulator Nac
rfaDFCL	TU0-4183
hfq-hflXKC	TU0-14568
ybhD	TU0-8565	Regulation of ybhD by DNA-binding transcriptional dual regulator Nac
galETK	TU0-42583
uxaB	TU0-36422
ghoST	TU0-42545
yafNOP	TU0-12854
aslA	TU0-8769
yegW	TU0-13510
rseABC	TU00526
yghJ	TU0-13815	Regulation of yghJ by DNA-binding transcriptional dual regulator/c-di-GMP phosphodiesterase PdeL
yfGM	TU0-14648
gpmM-envC-yibQ	TU0-13998
yeaM	TU0-8713
tehAB	TU00364		NsrR DNA-binding-site 1 bases upstream of tehAp
perR	TU0-12861
clcB	TU0-13337
nudC-hemE-nfi	TU0-14103
yadV-htrE	TU00263
pdhR-aceEF-lpdA	TU0-45222		PdhR DNA-binding-site 19 bases downstream of pdhRp2,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 50.5 bases upstream of pdhRp2,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 62.5 bases upstream of pdhRp2,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 110.5 bases upstream of pdhRp2,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 377.5 bases upstream of pdhRp2,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 82.5 bases upstream of pdhRp2,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 70.5 bases upstream of pdhRp2,Fnr DNA-binding-site 50.5 bases upstream of pdhRp2
nlpD-rpoS	TU00440
appY	TU0-45143
tyrP	TU00088		TyrR DNA-binding-site 64.5 bases upstream of tyrPp1,TyrR-tyr DNA-binding-site 41.5 bases upstream of tyrPp1,IHF DNA-binding-site regulating tyrPp1
cbrC	TU0-14027
yfcG	TU0-13588
yfeR	TU0-8737
mngAB	TU0-4482
umuDC	TU00180		LexA DNA-binding-site 0.5 bases upstream of umuDp,LexA DNA-binding-site 20.5 bases upstream of umuDp
cbrBC	TU0-36404
ldrD	TU0-8846
mutS	TU723	Regulation of mutS by RNA-binding protein Hfq,Regulation of mutS by small regulatory RNA ArcZ,Regulation of mutS by small regulatory RNA SdsR
ybeX-lnt	TU0-13016
yifL-dapF-yigA-xerC-yigB	TU0-14042
leuL	TU0-42508
