Transcription Factor Binding Sites	Abs-Center-Pos	Involved-In-Regulation
MetR DNA-binding-site 57 bases upstream of metHp1	4223726	Regulation of metHp1 by DNA-binding transcriptional dual regulator MetR
Fis DNA-binding-site 71 bases upstream of thrUp	4175310	Regulation of thrUp by DNA-binding transcriptional dual regulator Fis
LexA DNA-binding-site 89.5 bases downstream of dinJp	246526.5	Regulation of dinJp by DNA-binding transcriptional repressor LexA
TorR-Pasp DNA-binding-site 51.5 bases upstream of hdeAp2	3656842.5	Regulation of hdeAp2 by DNA-binding transcriptional dual regulator TorR-phosphorylated // Regulation of hdeAp by DNA-binding transcriptional dual regulator TorR-phosphorylated
CpxR-phosphorylated DNA-binding-site 108.5 bases upstream of csgDp3	1103452.5	Regulation of csgDp3 by DNA-binding transcriptional dual regulator CpxR-phosphorylated // Regulation of csgDp1 by DNA-binding transcriptional dual regulator CpxR-phosphorylated
PdeL DNA-binding-site regulating yghJ		Regulation of yghJ by DNA-binding transcriptional dual regulator/c-di-GMP phosphodiesterase PdeL
DNA-binding transcriptional dual regulator Fur DNA-binding-site 74 bases upstream of ftnAp	1988608	Regulation of ftnAp by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 52.5 bases upstream of mcaSp	1405803.5	Regulation of mcaSp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
NtrC phosphorylated dimer DNA-binding-site 135 bases upstream of glnHp2	848182	Regulation of glnHp2 by NtrC phosphorylated dimer
NarL-Pasp59 DNA-binding-site 41 bases upstream of ogtp	1400325	Regulation of ogtp by DNA-binding transcriptional dual regulator NarL-phosphorylated
IHF DNA-binding-site 102 bases upstream of ompRp1	3536809	Regulation of ompRp1 by DNA-binding transcriptional dual regulator IHF
IHF DNA-binding-site 169 bases upstream of glmYp1	2691509	Regulation of glmYp1 by DNA-binding transcriptional dual regulator IHF
Lrp DNA-binding-site 8 bases downstream of lrpp	932335	Regulation of lrpp by DNA-binding transcriptional dual regulator Lrp
GadX DNA-binding-site 60.5 bases upstream of slpp	3653875.5	Regulation of slpp by DNA-binding transcriptional dual regulator GadX
DNA-binding transcriptional dual regulator Fur DNA-binding-site 19 bases upstream of tonBp	1311035	Regulation of tonBp by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
Nac DNA-binding-site regulating ybdK	607389	Regulation of ybdK by DNA-binding transcriptional dual regulator Nac
UlaR DNA-binding-site 19.5 bases upstream of ulaAp	4419907.5	Regulation of ulaAp by DNA-binding transcriptional repressor UlaR
GlpR DNA-binding-site 58.5 bases upstream of glpFp	4118219.5d0	Regulation of glpFp by DNA-binding transcriptional repressor GlpR
MarA DNA-binding-site 42 bases upstream of xseAp	2634155	Regulation of xseAp by DNA-binding transcriptional dual regulator MarA
CytR DNA-binding-site 73.5 bases upstream of rpoHp5	3600922.5	Regulation of rpoHp5 by DNA-binding transcriptional repressor CytR
MarR DNA-binding-site 17 bases downstream of marRp	1619109	Regulation of marRp by DNA-binding transcriptional repressor MarR
SlyA DNA-binding-site 62.5 bases upstream of fecIp	4518344.5	Regulation of fecIp by DNA-binding transcriptional dual regulator SlyA
ArcA-Pasp54 DNA-binding-site regulating cydAp3		Regulation of cydAp3 by DNA-binding transcriptional dual regulator ArcA-phosphorylated
DpiA-Pasp DNA-binding-site regulating exuTp2		Regulation of exuTp2 by DNA-binding transcriptional dual regulator DpiA-phosphorylated
YgiV DNA-binding-site regulating mcbR		Regulation of mcbR by DNA-binding transcriptional repressor YgiV
SutR DNA-binding-site 16.5 bases upstream of sutRp	1506133.5	Regulation of sutRp by DNA-binding transcriptional dual regulator SutR
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 62.5 bases upstream of rpoSp	2868180.5	Regulation of rpoSp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
GalR DNA-binding-site 61.5 bases upstream of galSp	2241771.5	Regulation of galSp by DNA-binding transcriptional dual regulator GalR
ArcA-Pasp54 DNA-binding-site 28 bases downstream of caiTp	42010	Regulation of caiTp by DNA-binding transcriptional dual regulator ArcA-phosphorylated
H-NS DNA-binding-site 415 bases upstream of nrdAp	2344340	Regulation of nrdAp by DNA-binding transcriptional dual regulator H-NS
CaiF-L-carnitine DNA-binding-site 117.5 bases upstream of fixAp	42207.5	Regulation of fixAp by CaiF-L-carnitine DNA-binding Transcriptional Activator // Regulation of caiTp by CaiF-L-carnitine DNA-binding Transcriptional Activator
IHF DNA-binding-site regulating ulaGp		Regulation of ulaGp by DNA-binding transcriptional dual regulator IHF
CpxR-phosphorylated DNA-binding-site 373 bases upstream of ompFp2	987465	Regulation of ompFp2 by DNA-binding transcriptional dual regulator CpxR-phosphorylated // Regulation of ompFp by DNA-binding transcriptional dual regulator CpxR-phosphorylated
ArcA-Pasp54 DNA-binding-site 18 bases upstream of lpdAp	127699	Regulation of lpdAp by DNA-binding transcriptional dual regulator ArcA-phosphorylated
ArcA-Pasp54 DNA-binding-site 95.5 bases upstream of dpiBp1	651888.5	Regulation of dpiBp1 by DNA-binding transcriptional dual regulator ArcA-phosphorylated // Regulation of citCp1 by DNA-binding transcriptional dual regulator ArcA-phosphorylated
DNA-binding transcriptional dual regulator Fur DNA-binding-site 15 bases upstream of fesp	612672	Regulation of fesp by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator // Regulation of fepAp by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
NsrR DNA-binding-site 1 bases upstream of rfep	3967799	Regulation of rfep by DNA-binding transcriptional dual regulator NsrR
NhaR-Na+ DNA-binding-site regulating rrsAp2		Regulation of rrsAp2 by NhaR-Na+ DNA-binding transcriptional activator
OmpR-P DNA-binding-site 186.5 bases upstream of micFp2	2312897.5	Regulation of micFp2 by DNA-binding transcriptional dual regulator OmpR-phosphorylated // Regulation of micFp1 by DNA-binding transcriptional dual regulator OmpR-phosphorylated // Regulation of ompCp1 by DNA-binding transcriptional dual regulator OmpR-phosphorylated
ArgR-arg DNA-binding-site 6.5 bases upstream of argEp1	4154903.5d0	Regulation of argEp1 by ArgR-L-arginine DNA-binding transcriptional dual regulator // Regulation of argCp by ArgR-L-arginine DNA-binding transcriptional dual regulator
NarL-Pasp59 DNA-binding-site 15 bases downstream of ydhYp	1754628	Regulation of ydhYp by DNA-binding transcriptional dual regulator NarL-phosphorylated
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 160.5 bases upstream of hyfAp	2601010.5	Regulation of hyfAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
NarL-Pasp59 DNA-binding-site 36 bases downstream of focAp3	954779	Regulation of focAp3 by DNA-binding transcriptional dual regulator NarL-phosphorylated // Regulation of focAp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated
IHF DNA-binding-site 130 bases upstream of narKp1	1277802	Regulation of narKp1 by DNA-binding transcriptional dual regulator IHF
