Gene ID (EcoCyc),Gene name,Enzyme encoded,Pathways,Pathways parent,Protein products,Reactions
EG11679,aas,AAS-MONOMER,,,AAS-MONOMER,"['ACYLGPEACYLTRANS-RXN', 'RXN-5741', 'RXN0-5513']"
EG11647,accA,ACETYL-COA-CARBOXYLTRANSFER-CPLX,"['PWY0-1264', 'PWY-4381']","['Energy-Metabolism', 'Fatty-Acid-Biosyn-Initiation']",CARBOXYL-TRANSFERASE-ALPHA-MONOMER,['RXN0-5055']
EG10276,accC,BIOTIN-CARBOXYL-CPLX,PWY0-1264,Energy-Metabolism,BIOTIN-CARBOXYL-MONOMER,['BIOTIN-CARBOXYL-RXN']
EG10217,accD,ACETYL-COA-CARBOXYLTRANSFER-CPLX,"['PWY0-1264', 'PWY-4381']","['Energy-Metabolism', 'Fatty-Acid-Biosyn-Initiation']",CARBOXYL-TRANSFERASE-BETA-MONOMER,['RXN0-5055']
EG10022,aceA,ISOCIT-LYASE,GLYOXYLATE-BYPASS,Energy-Metabolism,ISOCIT-LYASE-MONOMER,['ISOCIT-CLEAV-RXN']
EG10023,aceB,MALATE-SYNTHASE,GLYOXYLATE-BYPASS,Energy-Metabolism,MALATE-SYNTHASE,['MALSYN-RXN']
EG10024,aceE,"['PYRUVATEDEH-CPLX', 'E1P-CPLX']","['GLYCOLYSIS-TCA-GLYOX-BYPASS', 'PYRUVDEHYD-PWY']","['Energy-Metabolism', 'Super-Pathways', 'Acetyl-CoA-Biosynthesis', 'CARBOXYLATES-DEG']",E1P-MONOMER,"['PYRUVDEH-RXN', 'RXN0-1133', 'RXN0-1132', 'RXN0-1134', 'RXN-12583', 'RXN-12508']"
EG10025,aceF,"['PYRUVATEDEH-CPLX', 'E2P-MONOMER']","['GLYCOLYSIS-TCA-GLYOX-BYPASS', 'PYRUVDEHYD-PWY']","['Energy-Metabolism', 'Super-Pathways', 'Acetyl-CoA-Biosynthesis', 'CARBOXYLATES-DEG']","['ACEF-DIHYDROLIPOATE', 'ACEF-S-ACETYLDIHYDROLIPOATE', 'ACEF-LIPOATE', 'E2P-MONOMER']","['PYRUVDEH-RXN', 'RXN0-1134', 'RXN-12583', 'RXN-12508', 'RXN0-1132', 'RXN0-1133']"
EG10027,ackA,ACETATEKINA-MONOMER,"['PWY0-1312', 'PWY0-1477', 'PWY-5485', 'FERMENTATION-PWY', 'PWY-5437']","['Acetate-Formation', 'AMINE-DEG', 'Pyruvate-Acetate-Fermentation', 'Super-Pathways', 'Fermentation-to-Acids', 'Pyruvate-Ethanol-Fermentation', 'Super-Pathways', 'Amino-Acid-Fermentation', 'THREONINE-DEG']",ACETATEKINA-MONOMER,"['ACETATEKIN-RXN', 'PROPKIN-RXN']"
EG11325,acnA,CPLX0-7760,"['GLYOXYLATE-BYPASS', 'TCA']","['Energy-Metabolism', 'TCA-VARIANTS']",ACONITASE-MONOMER,"['ACONITATEHYDR-RXN', 'ACONITATEDEHYDR-RXN']"
EG11095,acpH,EG11095-MONOMER,PWY-6012,Protein-Modification,EG11095-MONOMER,['3.1.4.14-RXN']
EG10247,acpS,HOLO-ACP-SYNTH-CPLX,"['ENTBACSYN-PWY', 'PWY-6012']","['Siderophores-Biosynthesis', 'Super-Pathways', 'Protein-Modification']",HOLO-ACP-SYNTH-MONOMER,"['ENTDB-RXN', 'HOLO-ACP-SYNTH-RXN']"
EG12221,acpT,EG12221-MONOMER,"['ENTBACSYN-PWY', 'PWY-6012']","['Siderophores-Biosynthesis', 'Super-Pathways', 'Protein-Modification']",EG12221-MONOMER,"['ENTDB-RXN', 'HOLO-ACP-SYNTH-RXN']"
EG11703,acrA,"['TRANS-CPLX-201', 'CPLX0-3932']",,,EG11703-MONOMER,"['TRANS-RXN-354', 'TRANS-RXN-359', 'TRANS-RXN0-592', 'TRANS-RXN-356', 'TRANS-RXN-355', 'TRANS-RXN-357', 'TRANS-RXN-1551', 'TRANS-RXN-1552', 'TRANS-RXN-360']"
EG11704,acrB,TRANS-CPLX-201,,,ACRB-MONOMER,"['TRANS-RXN-354', 'TRANS-RXN-359', 'TRANS-RXN0-592', 'TRANS-RXN-356', 'TRANS-RXN-355', 'TRANS-RXN-357']"
EG11448,acs,ACS-MONOMER,"['PWY0-1313', 'PWY0-42']","['CARBOXYLATES-DEG', 'Methyl-Citrate-Cycle']",ACS-MONOMER,"['ACETATE--COA-LIGASE-RXN', 'PROPIONATE--COA-LIGASE-RXN']"
EG11942,actP,CPLX0-7955,,,YJCG-MONOMER,"['RXN0-1981', 'RXN0-5111', 'TRANS-RXN0-576']"
EG10030,add,ADENODEAMIN-MONOMER,"['PWY-7179', 'SALVADEHYPOX-PWY', 'PWY-6609', 'PWY-6611', 'PWY0-1296']","['Purine-Degradation', 'Adenosine-Nucleotides-Degradation', 'Adenine-Adenosine-Salvage', 'Adenine-Adenosine-Salvage', 'Purine-Degradation']",ADENODEAMIN-MONOMER,"['ADDALT-RXN', 'ADENODEAMIN-RXN']"
EG11692,adeD,CPLX0-1683,DETOX1-PWY,REACTIVE-OXYGEN-SPECIES-DEGRADATION,EG11692-MONOMER,"['ADENINE-DEAMINASE-RXN', 'CATAL-RXN']"
EG11724,adeP,EG11724-MONOMER,,,EG11724-MONOMER,['TRANS-RXN0-447']
EG10031,adhE,ADHE-CPLX,"['PWY-5436', 'PWY-7180', 'ETOH-ACETYLCOA-ANA-PWY', 'PWY0-1477', 'PWY-5480', 'FERMENTATION-PWY']","['THREONINE-DEG', 'Sugar-Derivatives', 'Ethanol-Degradation', 'AMINE-DEG', 'Pyruvate-Ethanol-Fermentation', 'Fermentation-to-Acids', 'Pyruvate-Ethanol-Fermentation', 'Super-Pathways']",ADHE-MONOMER,"['ACETALD-DEHYDROG-RXN', 'ALCOHOL-DEHYDROG-RXN', 'ALCOHOL-DEHYDROG-GENERIC-RXN', 'PFLDEACTIV-RXN']"
G6775,adhP,CPLX0-8015,"['ETOH-ACETYLCOA-ANA-PWY', 'PWY0-1477', 'PWY-5480', 'FERMENTATION-PWY']","['Ethanol-Degradation', 'AMINE-DEG', 'Pyruvate-Ethanol-Fermentation', 'Fermentation-to-Acids', 'Pyruvate-Ethanol-Fermentation', 'Super-Pathways']",ADHP-MONOMER,"['ALCOHOL-DEHYDROG-RXN', 'ALCOHOL-DEHYDROG-GENERIC-RXN']"
EG11501,adiA,ARGDECARBOXDEG-CPLX,"['PWY0-823', 'PWY0-1299']","['ARGININE-DEG', 'Acid-Resistance']",ARGDECARBOXDEG-MONOMER,['ARGDECARBOX-RXN']
EG12462,adiC,CPLX0-7535,,,YJDE-MONOMER,['RXN0-2162']
EG10032,adk,ADENYL-KIN-MONOMER,"['PWY-7219', 'PWY-7176', 'PWY0-163', 'PWY-7205', 'PPGPPMET-PWY', 'PWY-7221', 'PWY-7222', 'PWY0-166', 'PWY-7184', 'PWY-7197', 'PWY-7187']","['Purine-Ribonuc-De-Novo-Biosynthesis', 'Pyrimid-Ribonucleot-De-Novo-Biosyn', 'Pyrimidine-Nucleotide-Salvage', 'Pyrimidine-Nucleotide-Salvage', 'Metabolic-Regulators', 'Purine-Ribonuc-De-Novo-Biosynthesis', 'Guanosine-Deoxy-Denovo-Biosynthesis', 'Pyrimid-Deoxyribonucleot-De-Novo-Biosyn', 'Super-Pathways', 'Metabolic-Clusters', 'Pyrimid-Deoxyribonucleot-De-Novo-Biosyn', 'Metabolic-Clusters', 'Pyrimidine-Nucleotide-Salvage', 'Pyrimid-Deoxyribonucleot-De-Novo-Biosyn']",ADENYL-KIN-MONOMER,"['ADENYL-KIN-RXN', 'UDPKIN-RXN', 'CDPKIN-RXN', 'GDPKIN-RXN', 'DGDPKIN-RXN', 'DCDPKIN-RXN', 'DTDPKIN-RXN', 'RXN-14074']"
EG11101,aes,CPLX0-8033,,,EG11101-MONOMER,['ACETYLESTERASE-RXN']
G7634,agaS,G7634-MONOMER,,,G7634-MONOMER,['RXN-13548']
EG10033,agp,GLUCOSE-1-PHOSPHAT-CPLX,,,GLUCOSE-1-PHOSPHAT-MONOMER,"['GLUCOSE-1-PHOSPHAT-RXN', 'RXN0-1001']"
EG11384,ahpC,CPLX0-245,,,EG11384-MONOMER,"['R4-RXN', 'RXN-19953', 'RXN-19954', 'RXN-20692', 'RXN-20691']"
G7184,alaA,CPLX0-7888,ALANINE-SYN2-PWY,ALANINE-SYN,G7184-MONOMER,['ALANINE-AMINOTRANSFERASE-RXN']
G7242,alaC,CPLX0-7887,ALANINE-SYN2-PWY,ALANINE-SYN,G7242-MONOMER,['ALANINE-AMINOTRANSFERASE-RXN']
G7399,alaE,CPLX0-8791,,,G7399-MONOMER,['TRANS-RXN0-469']
EG10035,aldA,ALD-CPLX,"['PWY0-1317', 'PWY0-1280', 'DARABCATK12-PWY']","['Lactaldehyde-Degradation', 'Alcohol-Degradation', 'D-Arabinose-Degradation']",LACTALDDEHYDROG-MONOMER,"['LACTALDDEHYDROG-RXN', 'GLYCOLALD-DEHYDROG-RXN']"
EG12292,aldB,CPLX0-3482,,,ALDDEHYDROGB-MONOMER,['RXN0-3962']
G6275,allA,G6275-MONOMER,PWY-5705,"['Allantoin-degradation', 'Super-Pathways']",G6275-MONOMER,['UREIDOGLYCOLATE-LYASE-RXN']
G6281,allB,CPLX-64,PWY-5698,Allantoin-degradation,G6281-MONOMER,['ALLANTOINASE-RXN']
G6285,allC,CPLX-7524,PWY-5698,Allantoin-degradation,G6285-MONOMER,['ALLANTOATE-DEIMINASE-RXN']
G6286,allD,CPLX0-7993,PWY0-41,"['Allantoin-degradation', 'Super-Pathways']",G6286-MONOMER,['RXN0-7024']
G6284,allE,G6284-MONOMER,PWY-5698,Allantoin-degradation,G6284-MONOMER,['URUR-RXN']
EG10001,alr,CPLX0-8202,"['ALADEG-PWY', 'PWY-8072']","['ALANINE-DEG', 'Other-Amino-Acid-Biosynthesis']",ALARACEBIOSYN-MONOMER,['ALARACECAT-RXN']
EG11959,alsA,ABC-42-CPLX,,,YJCW-MONOMER,['ABC-42-RXN']
EG12458,alsB,ABC-42-CPLX,,,YJCX-MONOMER,['ABC-42-RXN']
EG11958,alsC,ABC-42-CPLX,,,YJCV-MONOMER,['ABC-42-RXN']
EG11957,alsE,EG11957-MONOMER,PWY0-44,Sugars-And-Polysaccharides-Degradation,EG11957-MONOMER,['RXN0-304']
EG11956,alsK,EG11956-MONOMER,PWY0-44,Sugars-And-Polysaccharides-Degradation,EG11956-MONOMER,['ALLOSE-KINASE-RXN']
EG10039,amn,AMP-NUCLEOSID-CPLX,PWY-6617,Adenosine-Nucleotides-Degradation,AMP-NUCLEOSID-MONOMER,['AMP-NUCLEOSID-RXN']
EG10041,ampD,EG10041-MONOMER,PWY0-1261,Anhydromuropeptides-Recycling,EG10041-MONOMER,['RXN0-5225']
EG11821,amtB,CPLX0-7532,,,AMTB-MONOMER,['RXN-9615']
G6880,anmK,G6880-MONOMER,PWY0-1261,Anhydromuropeptides-Recycling,G6880-MONOMER,['RXN0-4621']
EG10045,ansA,ANSA-CPLX,"['ASPARAGINE-DEG1-PWY', 'ASPASN-PWY']","['ASPARAGINE-DEG', 'IND-AMINO-ACID-SYN', 'Super-Pathways']",ANSA-MONOMER,['ASPARAGHYD-RXN']
EG10046,ansB,ANSB-CPLX,"['ASPARAGINE-DEG1-PWY', 'ASPASN-PWY']","['ASPARAGINE-DEG', 'IND-AMINO-ACID-SYN', 'Super-Pathways']",ANSB-MONOMER,['ASPARAGHYD-RXN']
G6764,ansP,ANSP-MONOMER,,,ANSP-MONOMER,['TRANS-RXN-262']
EG10048,apaH,EG10048-MONOMER,PPGPPMET-PWY,Metabolic-Regulators,EG10048-MONOMER,"['PPPGPPHYDRO-RXN', '3.6.1.41-RXN']"
EG11934,aphA,APHA-CPLX,"['PWY-6608', 'SALVADEHYPOX-PWY']","['Guanosine-Nucleotides-Degradation', 'Adenosine-Nucleotides-Degradation']",APHA-MONOMER,"['ACID-PHOSPHATASE-RXN', 'RXN-14473', 'RXN-14025', 'RXN-14026', 'AMP-DEPHOSPHORYLATION-RXN', 'RXN-7609', 'RXN-7607', '5-NUCLEOTID-RXN', 'RXN-14126', 'RXN-14090', '3-NUCLEOTID-RXN', 'THYMIDYLATE-5-PHOSPHATASE-RXN', 'RXN-14142', 'RXN-14161', 'RXN0-3741', 'RXN-14521', 'DEOXYNUCLEOTIDE-3-PHOSPHATASE-RXN', 'RXN-14522', 'RXN-14525', 'RXN-14523', 'RXN-14524', 'RXN-14505', 'RXN0-5114', 'RXN-14534']"
EG10049,appA,CPLX-722,,,APPA-MONOMER,"['RXN0-5462', 'RXN-10940', 'RXN-17495', 'RXN-17489', 'RXN-17490', 'RXN-17493']"
EG11379,appB,APP-UBIOX-CPLX,,,APPB-MONOMER,['RXN0-5266']
EG11380,appC,APP-UBIOX-CPLX,,,APPC-MONOMER,['RXN0-5266']
EG10051,apt,ADENPRIBOSYLTRAN-CPLX,"['PWY-6605', 'PWY-7805']","['Adenine-Adenosine-Salvage', 'Phosphonate-Degradation']",ADENPRIBOSYLTRAN-MONOMER,['ADENPRIBOSYLTRAN-RXN']
EG10052,araA,ARABISOM-CPLX,ARABCAT-PWY,L-Arabinose-Degradation,ARABISOM-MONOMER,['ARABISOM-RXN']
EG10053,araB,RIBULOKIN-CPLX,ARABCAT-PWY,L-Arabinose-Degradation,RIBULOKIN-MONOMER,['RXN0-5116']
EG10055,araD,RIBULPEPIM-CPLX,"['LYXMET-PWY', 'ARABCAT-PWY']","['Sugars-And-Polysaccharides-Degradation', 'L-Arabinose-Degradation']",RIBULPEPIM-MONOMER,['RIBULPEPIM-RXN']
EG10056,araE,ARAE-MONOMER,,,ARAE-MONOMER,['TRANS-RXN-10']
EG10057,araF,ABC-2-CPLX,,,ARAF-MONOMER,['ABC-2-RXN']
EG10058,araG,ABC-2-CPLX,,,ARAG-MONOMER,['ABC-2-RXN']
EG10059,araH,ABC-2-CPLX,,,ARAH-MONOMER,['ABC-2-RXN']
EG10063,argA,N-ACETYLTRANSFER-CPLX,GLUTORN-PWY,L-Ornithine-Biosynthesis,N-ACETYLTRANSFER-MONOMER,['N-ACETYLTRANSFER-RXN']
