Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Characterization	Object ID
pspE	b1308	1369689	1370003	thiosulfate sulfurtransferase PspE	WELL-CHARACTERIZED	EG10780
trmO	b0195	218887	219594	tRNA m<sup>6</sup>t<sup>6</sup>A37 methyltransferase	WELL-CHARACTERIZED	EG11503
gcvH	b2904	3049160	3049549	lipoyl-GcvH-protein // glycine cleavage system H protein	WELL-CHARACTERIZED	EG10371
metN	b0199	221614	222645	L-methionine/D-methionine ABC transporter ATP binding subunit	WELL-CHARACTERIZED	EG11621
yhjX	b3547	3710799	3712007	putative transporter YhjX	PARTIAL	EG12268
yejF	b2180	2276300	2277889	oligopeptide ABC transporter ATP binding subunit YejF	WELL-CHARACTERIZED	EG12041
araF	b1901	1985139	1986128	arabinose ABC transporter periplasmic binding protein	WELL-CHARACTERIZED	EG10057
yahI	b0323	340165	341115	carbamate kinase-like protein YahI	UNCHARACTERIZED	G6188
symR	b4625	4579835	4579911	small regulatory RNA antitoxin SymR	WELL-CHARACTERIZED	G0-10610
sbmC	b2009	2080789	2081262	DNA gyrase inhibitor	WELL-CHARACTERIZED	EG11892
sdaB	b2797	2929576	2930943	L-serine deaminase II	WELL-CHARACTERIZED	EG11623
yciG	b1259	1315856	1316035	stress-induced bacterial acidophilic repeat motifs-containing protein YciG	PARTIAL	EG11127
rbsA	b3749	3933778	3935283	ribose ABC transporter ATP binding subunit	WELL-CHARACTERIZED	EG10814
dgcC	b0385	403703	404818	diguanylate cyclase DgcC	WELL-CHARACTERIZED	EG11257
yfiL	b2602	2741360	2741725	DUF2799 domain-containing lipoprotein YfiL	UNCHARACTERIZED	EG12446
phoA	b0383	401747	403162	alkaline phosphatase	WELL-CHARACTERIZED	EG10727
ydhK	b1645	1722121	1724133	putative transporter YdhK	PARTIAL	G6885
spoT	b3650	3822400	3824508	bifunctional (p)ppGpp synthase/hydrolase SpoT	WELL-CHARACTERIZED	EG10966
ynfQ	b4724	1638256	1638444	Qin prophage; protein YnfQ	UNCHARACTERIZED	G0-16689
ppiC	b3775	3959532	3959813	peptidyl-prolyl <i>cis-trans</i> isomerase C	PARTIAL	EG12352
kdpF	b4513	728732	728821	K<sup>+</sup> transporting P-type ATPase subunit KdpF	WELL-CHARACTERIZED	G0-10439
cmk	b0910	961201	961884	cytidylate kinase	WELL-CHARACTERIZED	EG11265
phnE1	b4583	4322443	4323281	phosphonate/phosphate ABC transporter membrane subunit PhnE1	WELL-CHARACTERIZED	EG11283
edd	b1851	1932793	1934604	phosphogluconate dehydratase	WELL-CHARACTERIZED	EG10257
glgC	b3430	3568033	3569328	glucose-1-phosphate adenylyltransferase	WELL-CHARACTERIZED	EG10379
glsB	b1524	1612325	1613251	glutaminase 2	WELL-CHARACTERIZED	G6810
ymiB	b4672	1346796	1346900	putative protein YmiB	UNCHARACTERIZED	G0-16673
basR	b4113	4333282	4333950	DNA-binding transcriptional dual regulator BasR-phosphorylated // DNA-binding transcriptional dual regulator BasR	WELL-CHARACTERIZED	EG11615
proC	b0386	404835	405644	pyrroline-5-carboxylate reductase	WELL-CHARACTERIZED	EG10769
wcaL	b2044	2115907	2117127	putative colanic acid biosynthesis glycosyl transferase WcaL	PARTIAL	G7095
alsC	b4086	4308489	4309469	D-allose ABC transporter membrane subunit	WELL-CHARACTERIZED	EG11958
ilvM	b3769	3952201	3952464	acetolactate synthase II subunit IlvM	WELL-CHARACTERIZED	EG10501
ttdT	b3063	3208024	3209487	L-tartrate:succinate antiporter	WELL-CHARACTERIZED	EG12393
ydhV	b1673	1751728	1753830	putative oxidoreductase YdhV	PARTIAL	G6901
yigI	b3820	4004230	4004697	acyl-CoA thioesterase YigI	WELL-CHARACTERIZED	EG11467
gmk	b3648	3821428	3822051	guanylate kinase	WELL-CHARACTERIZED	EG10965
rrlD	b3275	3423880	3426783	23S ribosomal RNA	WELL-CHARACTERIZED	EG30080
ydcS	b1440	1511654	1512799	putative ABC transporter periplasmic binding protein / polyhydroxybutyrate synthase	WELL-CHARACTERIZED	G6751
nuoI	b2281	2395908	2396450	NADH:quinone oxidoreductase subunit I	WELL-CHARACTERIZED	EG12089
ybhM	b0787	820793	821506	Bax1-I family protein YbhM	UNCHARACTERIZED	G6404
gadW	b3515	3663890	3664618	DNA-binding transcriptional dual regulator GadW	WELL-CHARACTERIZED	EG12242
yiaF	b3554	3718334	3719044	DUF3053 domain-containing protein YiaF	UNCHARACTERIZED	EG12273
fruB	b2169	2262365	2263495	FruB - his299 phosphorylated // fructose-specific PTS multiphosphoryl transfer protein FruB	WELL-CHARACTERIZED	G7990
btsS	b2126	2212959	2214644	BtsS-<i>N</i>-phospho-L-histidine // high-affinity pyruvate receptor	WELL-CHARACTERIZED	EG12007
ubiF	b0662	695101	696276	3-demethoxyubiquinol 3-hydroxylase	WELL-CHARACTERIZED	G6365
artQ	b0862	901534	902250	L-arginine ABC transporter membrane subunit ArtQ	PARTIAL	EG11626
ybgD	b0719	752229	752795	putative fimbrial protein YbgD	PARTIAL	EG12359
clpS	b0881	922913	923233	specificity factor for ClpA-ClpP chaperone-protease complex	WELL-CHARACTERIZED	G6463
