Rank,gene_callers_id,DSS3_ac_mean_abund,DSS3_glc_mean_abund,DSS3_late_mean_abund,DSS3_early_mean_abund,DSS3_ac_v_DSS3_glc_FOLD_CHANGE_rna,DSS3_ac_v_DSS3_late_FOLD_CHANGE_rna,DSS3_ac_v_DSS3_early_FOLD_CHANGE_rna,DSS3_glc_v_DSS3_late_FOLD_CHANGE_rna,DSS3_glc_v_DSS3_early_FOLD_CHANGE_rna,DSS3_late_v_DSS3_early_FOLD_CHANGE_rna,ANOVA p-value,BH_crit,BH_valid,DSS3_ac_v_DSS3_glc_Tukey_HSD_adjusted_p,DSS3_ac_v_DSS3_late_Tukey_HSD_adjusted_p,DSS3_ac_v_DSS3_early_Tukey_HSD_adjusted_p,DSS3_glc_v_DSS3_late_Tukey_HSD_adjusted_p,DSS3_glc_v_DSS3_early_Tukey_HSD_adjusted_p,DSS3_late_v_DSS3_early_Tukey_HSD_adjusted_p,SPO_ID (ACCESSION),KOfam (ACCESSION),KEGG_Module,COG20_FUNCTION,n_matches,frame_id,n_reactions,reaction_ids
1,1061,2251205.28708134,64027492.5322464,17165607.9928029,6865222.31571677,-4.83627379819097,-2.93144920573903,-1.5735770717335,1.90482459245193,3.26269672645747,1.35787213400553,1.12654239701202e-08,1.15154306771073e-05,True,,,,0.0,,,SPO1061,,,"ABC-type amino acid transport/signal transduction system, periplasmic component/domain (HisJ) (PDB:1GGG)!!!Cytoplasmic potassium-binding protein Kbp/XkdP/YgaU, contains LysM domain (XkdP) (PDB:5FIM) (PUBMED:27112601)",1,SPO_RS05385,0.0,
2,3844,27254189.398033,20140814.5871825,292401042.766974,31552196.0362362,0.431037781101917,-3.43746744907081,-0.158968066101589,-3.86850523017273,-0.590005847203507,3.27849938296922,1.1596817081436e-08,2.30308613542146e-05,True,,0.0,,0.0001,,,SPO3842,K22737,,"Rubrerythrin, includes spore coat protein YhjR (YhjR) (PDB:2E0Z)",1,SPO_RS19495,0.0,
3,3780,270839352.762987,18726806.7480146,19388311.2249273,38107195.47845,3.85449233768254,3.80341724947892,2.89751277302164,-0.0510750882036248,-0.956979564660905,-0.90590447645728,6.28013431516978e-08,3.45462920313219e-05,True,0.0,0.0,0.0,,,,SPO3778,K02032,,"ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component (DppD) (PDB:4FWI)",1,SPO_RS19175,0.0,
4,1059,2938362.49968834,165554700.685645,50704710.1628051,9112577.6960838,-5.81295939786128,-4.10841179141126,-1.57682473416048,1.70454760645002,4.23613466370079,2.53158705725077,1.05389827582603e-07,4.60617227084293e-05,True,,,,0.0001,,,SPO1059,,,Serine/threonine protein kinase (SPS1) (PDB:6G4J),1,SPO_RS22140,0.0,
5,3776,1463127088.7771,24499634.7254827,23346910.2904043,77249321.1788553,5.89720281640199,5.96529785499049,4.31443442519452,0.0680950385885097,-1.58276839120746,-1.65086342979597,1.88681715035077e-07,5.75771533855366e-05,True,0.0,0.0,0.0,,,,SPO3774,K02035,,"ABC-type transport system, periplasmic component (DdpA) (PDB:3RQT)",1,SPO_RS19155,0.0,
6,1060,1390038.31981844,38571800.3586392,11379481.8042275,3787079.65581748,-4.79655176801247,-3.0372927713876,-1.42024958435975,1.75925899662487,3.37630218365272,1.61704318702784,1.98255984678502e-07,6.90925840626439e-05,True,,,,,,,SPO1060,,,"ABC-type amino acid transport/signal transduction system, periplasmic component/domain (HisJ) (PDB:1GGG)",1,SPO_RS05380,0.0,
7,1064,3583027.19665271,49340336.4313313,14024856.3205621,8186731.86777342,-3.78655907847531,-1.97054676854744,-1.0859315263447,1.81601230992787,2.7006275521306,0.884615242202734,2.33280733721924e-07,8.06080147397512e-05,True,,,,,,,SPO1064,K20074,,Serine/threonine protein phosphatase PrpC (PTC1) (PDB:6IHL),1,SPO_RS05400,1.0,3.1.3.16-RXN
8,1062,6656257.6092883,82792608.2209151,29321308.0654875,11595579.9718042,-3.63521508145109,-2.13031922015036,-0.722766925005455,1.50489586130072,2.91244815644563,1.40755229514491,2.90779007037416e-07,9.21234454168586e-05,True,,,,0.0001,,,SPO1062,,,"ABC-type amino acid transport/signal transduction system, periplasmic component/domain (HisJ) (PDB:1GGG)",1,SPO_RS05390,0.0,
9,1063,2245154.84134978,44808429.2047294,12435523.9404063,6049628.99783805,-4.33010958401096,-2.47630165470416,-1.39849089777981,1.8538079293068,2.93161868623115,1.07781075692435,3.04139228601909e-07,0.000103638876093965,True,,,,,,,SPO1063,,,"Forkhead associated (FHA) domain, binds pSer, pThr, pTyr (FHA) (PDB:2FEZ)",1,SPO_RS05395,0.0,
10,3777,313190725.071607,23174389.1812828,23865917.5739528,38317329.8907557,3.7554688750093,3.71075203879653,3.10597443830782,-0.0447168362127676,-0.649494436701473,-0.604777600488706,5.22659318683146e-07,0.000115154306771073,True,,,,,,,SPO3775,K02033,,"ABC-type dipeptide/oligopeptide/nickel transport system, permease component (DppB)",1,SPO_RS19160,0.0,
11,3526,111668282.813708,1180378203.05185,257773041.773851,281457843.454133,-3.4079960767419,-1.21033237172519,-1.28305854538325,2.19766370501671,2.12493753135864,-0.0727261736580651,7.8214169964853e-07,0.00012666973744818,True,0.0,,,0.0,,,SPO3527,,,"Nucleotide-binding universal stress protein,  UspA family (UspA) (PDB:1JMV)",1,SPO_RS17870,0.0,
12,1113,43117228.2562723,3652185.06223302,2343738.33700463,11166696.6201006,3.56142229863715,4.20419685885003,2.03087781416201,0.642774560212878,-1.53054448447514,-2.17331904468801,1.04160778614064e-06,0.000138185168125287,True,0.0086,0.0077,0.0067,,,,SPO1112,K21395,,"TRAP-type C4-dicarboxylate transport system, periplasmic component (DctP) (PDB:2CEX)",1,SPO_RS05645,0.0,
13,1925,144869169.524935,828461294.528118,233460490.96524,603061675.585304,-2.52106356153207,-0.678998974611406,-2.06345259025252,1.84206458692066,0.457610971279542,-1.38445361564112,2.69044302817959e-06,0.000149700598802395,True,,,,,,,SPO_tRNA-Ser-2,,,,1,SPO_RS09765,0.0,
14,1069,6752480.3653997,98904832.1546464,29807227.199441,28534225.9378965,-3.87127446131335,-2.14194994807519,-2.00457210987415,1.72932451323815,1.86670235143919,0.137377838201036,2.9145093723793e-06,0.000161216029479502,True,0.0005,,,0.0006,,,SPO1069,,,Double Era-like domain GTPase Der (Der) (PDB:1MKY),1,SPO_RS05425,0.0,
15,1068,5867435.03714941,94302892.8051234,20143062.3917268,26942759.8310439,-4.01253635305193,-1.78442340908889,-2.09972113233344,2.22811294396303,1.91281522071848,-0.315297723244551,3.85661381764659e-06,0.000172731460156609,True,,,,,,,SPO1068,,,"GTPase Era, involved in 16S rRNA processing (Era) (PDB:1EGA)",1,SPO_RS05420,0.0,
16,3363,691022963.181826,1486484203.81296,4817985907.95535,209245151.216306,-1.00150993421074,-2.80462179099231,1.86770968534392,-1.80311185678156,2.86921961955467,4.67233147633624,4.15758209784769e-06,0.000184246890833717,True,,0.0,,0.0,,,SPO3366,K11707,,"ABC-type Zn uptake system ZnuABC, Zn-binding component ZnuA (ZnuA) (PDB:1K0F)",1,SPO_RS17050,1.0,ABC-63-RXN
17,3279,174752197.724039,209564200.045014,245707092.241222,510571979.341508,-0.254349041569209,-0.486139055787955,-1.54433335956412,-0.231790014218745,-1.28998431799491,-1.05819430377617,8.99212735571224e-06,0.000195762321510824,True,,,,,,,SPO_tRNA-Val-4,,,,1,SPO_RS16625,0.0,
18,3779,311644745.74203,17017556.9478967,18594389.1034373,37863245.5453928,4.18176833815813,4.0562685978126,3.09348824043595,-0.125499740345532,-1.08828009772218,-0.962780357376651,8.99947181158466e-06,0.000207277752187931,True,,,0.0457,,,,SPO3777,K02031,,"ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component (DppD) (PDB:4FWI)",1,SPO_RS19170,0.0,
19,3781,192062497.990571,22601891.7002164,24805620.8480044,43652707.4873906,3.08163191980701,2.94616444400877,2.20400057872814,-0.13546747579824,-0.877631341078871,-0.74216386528063,9.41747005754011e-06,0.000218793182865039,True,,,0.048,,,,SPO3779,K21645,,"DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)",1,SPO_RS19180,0.0,
20,2268,5722797.4514181,830786.734827829,1322452.41879321,3129934.77092099,2.80730316383916,2.15042716730098,0.88289126934217,-0.656875996538179,-1.92441189449699,-1.26753589795881,1.02240414400092e-05,0.000230308613542146,True,,,,,,,SPO2266,K06909,,Phage large terminase packaging protein,1,SPO_RS11490,0.0,
