Rank,gene_callers_id,DSS3_ac_mean_abund,DSS3_glc_mean_abund,DSS3_late_mean_abund,DSS3_early_mean_abund,DSS3_ac_v_DSS3_glc_FOLD_CHANGE_rna,DSS3_ac_v_DSS3_late_FOLD_CHANGE_rna,DSS3_ac_v_DSS3_early_FOLD_CHANGE_rna,DSS3_glc_v_DSS3_late_FOLD_CHANGE_rna,DSS3_glc_v_DSS3_early_FOLD_CHANGE_rna,DSS3_late_v_DSS3_early_FOLD_CHANGE_rna,ANOVA p-value,BH_crit,BH_valid,DSS3_ac_v_DSS3_glc_Tukey_HSD_adjusted_p,DSS3_ac_v_DSS3_late_Tukey_HSD_adjusted_p,DSS3_ac_v_DSS3_early_Tukey_HSD_adjusted_p,DSS3_glc_v_DSS3_late_Tukey_HSD_adjusted_p,DSS3_glc_v_DSS3_early_Tukey_HSD_adjusted_p,DSS3_late_v_DSS3_early_Tukey_HSD_adjusted_p,SPO_ID (ACCESSION),KOfam (ACCESSION),KEGG_Module,COG20_FUNCTION,n_matches,frame_id,n_reactions,reaction_ids
1,3780,0.0672584211457621,0.00310521127288483,0.00351643885002722,0.00336487022210359,4.43689600141609,4.25845080600905,4.32264751686354,-0.178445195407045,-0.114248484552549,0.064196710854496,1.91461504876911e-12,1.15154306771073e-05,True,0.0,0.0,0.0,,,,SPO3778,K02032,,"ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component (DppD) (PDB:4FWI)",1,SPO_RS19175,0.0,
2,3526,0.0276810926432039,0.195700674731465,0.0467595450384659,0.0250187198696558,-2.82559241300836,-0.755298815195062,0.142076198458648,2.07029359781329,2.967668611467,0.897375013653711,1.11361385872619e-10,2.30308613542146e-05,True,0.0,0.0011,,0.0,,,SPO3527,,,"Nucleotide-binding universal stress protein,  UspA family (UspA) (PDB:1JMV)",1,SPO_RS17870,0.0,
3,1113,0.010721470444096,0.000606827183472467,0.000425294111232401,0.000980017645742712,4.1438259623707,4.65923041538016,3.45601255800392,0.515404453009461,-0.687813404366776,-1.20321785737623,1.20907152643599e-10,3.45462920313219e-05,True,0.0002,0.0002,0.0001,,,,SPO1112,K21395,,"TRAP-type C4-dicarboxylate transport system, periplasmic component (DctP) (PDB:2CEX)",1,SPO_RS05645,0.0,
4,368,0.071600519386872,0.00337500400910732,0.00274903216793224,0.0378823314527324,4.4091815935413,4.70372238781017,0.918856428215228,0.294540794268877,-3.49032516532607,-3.78486595959495,1.43154627888204e-10,4.60617227084293e-05,True,0.0,0.0,0.0,,,,SPO0368,K14447,Ethylmalonyl pathway,"Methylmalonyl-CoA mutase, N-terminal domain/subunit (Sbm) (PDB:6OXC)!!!Methylmalonyl-CoA mutase, C-terminal domain/subunit (cobalamin-binding) (Sbm) (PDB:1B1A)",1,SPO_RS01865,1.0,RXN-8958
5,323,0.130793751994032,0.0199613588682774,0.0197828671748627,0.055112889500892,2.71586527109018,2.7266923382792,1.24734586747309,0.0108270671890231,-1.46851940361709,-1.47934647080611,1.99355727177442e-10,5.75771533855366e-05,True,0.0,0.0,0.0,,,,SPO0325,K00023,"Fatty acid biosynthesis, elongation","NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)",1,SPO_RS01655,8.0,"RXN-22218, RXN-9544, RXN-16112, RXN-16129, RXN-17109, RXN-12560, RXN-13279, RXN-5901"
6,2265,0.00819130957388334,0.000381996972007076,0.00117942811197688,0.00178362608482653,4.42858663101434,2.80407053693834,2.20434272117002,-1.624516094076,-2.22424390984431,-0.599727815768311,2.40613292152548e-10,6.90925840626439e-05,True,,,,,,,SPO2262,K06904,,Phage head maturation protease,1,SPO_RS11475,0.0,
7,1013,0.00935967818721846,0.00157407417201296,0.0013951006556808,0.00271508808715592,2.57203447549669,2.7462856172754,1.78770748283162,0.174251141778704,-0.784326992665077,-0.958578134443781,2.77699260764513e-10,8.06080147397512e-05,True,,,0.027,,,,SPO1014,,,O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming) (MenE/FadK) (PDB:5EY9) (PUBMED:25151136;27455459),1,SPO_RS05105,0.0,
8,371,0.187770646988784,0.015949902157162,0.0173559503964147,0.0265572668952573,3.55873383261645,3.43853700009177,2.82318524290159,-0.120196832524681,-0.735548589714868,-0.615351757190187,2.86319974629796e-10,9.21234454168586e-05,True,0.0008,0.0006,0.0007,,,,SPO0371,K19732,,"DNA-binding transcriptional regulator, CsgD family (CsgD)",1,SPO_RS01880,0.0,
9,1843,0.0180147293105489,0.00549760814522035,0.00551169707666,0.0268315722618252,1.71259784242987,1.7098843882958,-0.575090507540954,-0.00271345413406454,-2.28768834997082,-2.28497489583676,3.89612024425913e-10,0.000103638876093965,True,0.0,0.0,0.0,,,,SPO1841,K18676,,"BadF-type ATPase, related to human N-acetylglucosamine kinase (BadF) (PUBMED:17954692;12761179;12761179)",1,SPO_RS09365,0.0,
10,370,0.355326180612354,0.010745651511506,0.00874185213988467,0.187370160869186,5.04780866250151,5.34503440068141,0.922353486935779,0.297225738179895,-4.12545517556573,-4.42268091374563,5.35654909710184e-10,0.000115154306771073,True,0.0,0.0,0.0,,,,SPO0370,K14446,Ethylmalonyl pathway,NADPH:quinone reductase or related Zn-dependent oxidoreductase (Qor) (PDB:2VCY),1,SPO_RS01875,2.0,"RXN-18384, RXN-8957"
