Gene name	Product	Fold change
accB	Acetyl coenzyme A carboxylase, BCCP subunit; carrier of biotin	2.2/2.0
aceE	Pyruvate dehydrogenase (decarboxylase component)	6.1/5.2
aceF	Pyruvate dehydrogenase (dihydrolipoyltransacetylase component)	5.1/4.1
ackA	Acetate kinase	1.8/2.6
b0357	Putative alpha helix chain	3.2/2.2
b2530	Putative aminotransferase	1.2/2.3
b3469	Zinc-transporting ATPase	1.6/2.2
fabB	3-Oxoacyl-(acyl carrier protein) synthase I	2.6/3.1
fecA	Outer membrane receptor, citrate-dependent iron transport	2.5/2.8
glpD	Sn-glycerol-3-phosphate dehydrogenase (aerobic)	1.4/2.1
guaB	IMP dehydrogenase	2.9/2.3
ndh	Respiratory NADH dehydrogenase	5.8/3.8
ompF	Outer membrane protein 1a (Ia, b, F)	2.7/3.0
purA	Adenylosuccinate synthetase	2.1/2.1
rplE	50S ribosomal subunit protein L5	3.5/2.0
